"player_name","player_dob","player_url","tm_surname","tm_yob"
"Abdallah Basit",1999-10-15,"https://www.transfermarkt.com/abdallah-basit/profil/spieler/457773","Basit",1999
"Abdallah Ndour",1993-12-20,"https://www.transfermarkt.com/abdallah-ndour/profil/spieler/232854","Ndour",1993
"Abdallahi Mahmoud",2000-05-04,"https://www.transfermarkt.com/abdallahi-mahmoud/profil/spieler/615636","Mahmoud",2000
"Abdel Abqar",1999-03-10,"https://www.transfermarkt.com/abdel-abqar/profil/spieler/559979","Abqar",1999
"Abdel Malik Hsissane",1991-01-28,"https://www.transfermarkt.com/abdel-malik-hsissane/profil/spieler/184145","Hsissane",1991
"Abdel Medioub",1997-08-28,"https://www.transfermarkt.com/abdel-medioub/profil/spieler/596901","Medioub",1997
"Abdelhamid Sabiri",1996-11-28,"https://www.transfermarkt.com/abdelhamid-sabiri/profil/spieler/340394","Sabiri",1996
"Abdón Prats",1992-12-07,"https://www.transfermarkt.com/abdon-prats/profil/spieler/177452","Prats",1992
"Abdou Diakhate",1998-12-31,"https://www.transfermarkt.com/abdou-diakhate/profil/spieler/320263","Diakhate",1998
"Abdou Diallo",1996-05-04,"https://www.transfermarkt.com/abdou-diallo/profil/spieler/229005","Diallo",1996
"Abdoul Camara",1990-02-20,"https://www.transfermarkt.com/abdoul-camara/profil/spieler/60588","Camara",1990
"Abdoul Hate Bane",2001-03-21,"https://www.transfermarkt.com/abdoul-hate-bane/profil/spieler/534198","Bane",2001
"Abdoul Kader Bamba",1994-05-25,"https://www.transfermarkt.com/abdoul-kader-bamba/profil/spieler/560725","Bamba",1994
"Abdoulay Diaby",1991-05-21,"https://www.transfermarkt.com/abdoulay-diaby/profil/spieler/148396","Diaby",1991
"Abdoulaye Ba",1991-01-01,"https://www.transfermarkt.com/abdoulaye-ba/profil/spieler/106837","Ba",1991
"Abdoulaye Bakayoko",2002-12-15,"https://www.transfermarkt.com/abdoulaye-bakayoko/profil/spieler/855615","Bakayoko",2002
"Abdoulaye Bamba",1990-04-25,"https://www.transfermarkt.com/abdoulaye-bamba/profil/spieler/62351","Bamba",1990
"Abdoulaye Dabo",2001-03-04,"https://www.transfermarkt.com/abdoulaye-dabo/profil/spieler/463611","Dabo",2001
"Abdoulaye Diallo",1992-03-30,"https://www.transfermarkt.com/abdoulaye-diallo/profil/spieler/126681","Diallo",1992
"Abdoulaye Doucouré",1993-01-01,"https://www.transfermarkt.com/abdoulaye-doucoure/profil/spieler/127187","Doucouré",1993
"Abdoulaye Kamara",2004-11-06,"https://www.transfermarkt.com/abdoulaye-kamara/profil/spieler/718232","Kamara",2004
"Abdoulaye Ndiaye",2002-04-10,"https://www.transfermarkt.com/abdoulaye-ndiaye/profil/spieler/673514","Ndiaye",2002
"Abdoulaye Ousmane",2000-02-22,"https://www.transfermarkt.com/abdoulaye-ousmane/profil/spieler/689091","Ousmane",2000
"Abdoulaye Sidibé",2002-02-09,"https://www.transfermarkt.com/abdoulaye-sidibe/profil/spieler/639758","Sidibé",2002
"Abdoulaye Sylla",2000-04-10,"https://www.transfermarkt.com/abdoulaye-sylla/profil/spieler/807648","Sylla",2000
"Abdoulaye Touré",1994-03-03,"https://www.transfermarkt.com/abdoulaye-toure/profil/spieler/181382","Touré",1994
"Abdoulaye Touré",2000-10-14,"https://www.transfermarkt.com/abdoulaye-toure/profil/spieler/530902","Touré",2000
"Abdoulaye Traoré",2000-04-30,"https://www.transfermarkt.com/abdoulaye-traore/profil/spieler/398275","Traoré",2000
"Abdourahmane Barry",2000-02-21,"https://www.transfermarkt.com/abdourahmane-barry/profil/spieler/536472","Barry",2000
"Abdul Rahman Baba",1994-07-02,"https://www.transfermarkt.com/abdul-rahman-baba/profil/spieler/224884","Baba",1994
"Abdullahi Nura",1997-08-17,"https://www.transfermarkt.com/abdullahi-nura/profil/spieler/337705","Nura",1997
"Abel Ruiz",2000-01-28,"https://www.transfermarkt.com/abel-ruiz/profil/spieler/340376","Ruiz",2000
"Ablie Jallow",1998-11-14,"https://www.transfermarkt.com/ablie-jallow/profil/spieler/366045","Jallow",1998
"Abou Diop",1993-10-06,"https://www.transfermarkt.com/abou-diop/profil/spieler/198976","Diop",1993
"Abou Ouattara",1999-12-26,"https://www.transfermarkt.com/abou-ouattara/profil/spieler/443263","Ouattara",1999
"Aboubakar Kamara",1995-03-07,"https://www.transfermarkt.com/aboubakar-kamara/profil/spieler/290951","Kamara",1995
"Abukar Mohamed",1999-01-01,"https://www.transfermarkt.com/abukar-mohamed/profil/spieler/363714","Mohamed",1999
"Achraf Hakimi",1998-11-04,"https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073","Hakimi",1998
"Achraf Lazaar",1992-01-22,"https://www.transfermarkt.com/achraf-lazaar/profil/spieler/139173","Lazaar",1992
"Adalberto Peñaranda",1997-05-31,"https://www.transfermarkt.com/adalberto-penaranda/profil/spieler/308801","Peñaranda",1997
"Adam Armstrong",1997-02-10,"https://www.transfermarkt.com/adam-armstrong/profil/spieler/250426","Armstrong",1997
"Adam Bodzek",1985-09-07,"https://www.transfermarkt.com/adam-bodzek/profil/spieler/20778","Bodzek",1985
"Ádám Bogdán",1987-09-27,"https://www.transfermarkt.com/adam-bogdan/profil/spieler/55247","Bogdán",1987
"Adam Federici",1985-01-31,"https://www.transfermarkt.com/adam-federici/profil/spieler/4233","Federici",1985
