"comp_name","region","country","season_start_year","squad","player_name","player_position","player_dob","player_nationality","player_market_value_euro","player_url","tm_surname","tm_yob"
"SÃ©rie A","Americas","Brazil",2021,"Club Athletico Paranaense","Gabriel Pereira","Goalkeeper",2002-07-02,"Brazil",NA,"https://www.transfermarkt.com/gabriel-pereira/profil/spieler/627213","Pereira","2002"
"SÃ©rie A","Americas","Brazil",2021,"Sport Club Corinthians Paulista","Gabriel Pereira","Right Winger",2001-08-01,"Brazil",3e+06,"https://www.transfermarkt.com/gabriel-pereira/profil/spieler/736954","Pereira","2001"
"SÃ©rie A","Americas","Brazil",2020,"Cuiabá Esporte Clube (MT)","Gabriel Pierini","Central Midfield",2000-05-04,"Brazil",NA,"https://www.transfermarkt.com/gabriel-pierini/profil/spieler/708009","Pierini","2000"
"SÃ©rie A","Americas","Brazil",2021,"Santos FC","Gabriel Pirani","Attacking Midfield",2002-04-12,"Brazil",4500000,"https://www.transfermarkt.com/gabriel-pirani/profil/spieler/813107","Pirani","2002"
"SÃ©rie A","Americas","Brazil",2021,"Botafogo de Futebol e Regatas","Gabriel Pires","Central Midfield",1993-09-18,"Brazil",5e+06,"https://www.transfermarkt.com/gabriel-pires/profil/spieler/167291","Pires","1993"
"SÃ©rie A","Americas","Brazil",2017,"Paraná Clube","Gabriel Pires","Central Midfield",1999-05-22,"Brazil",NA,"https://www.transfermarkt.com/gabriel-pires/profil/spieler/547948","Pires","1999"
"SÃ©rie A","Americas","Brazil",2018,"Club Athletico Paranaense","Gabriel Poveda","Centre-Forward",1998-07-07,"Brazil",NA,"https://www.transfermarkt.com/gabriel-poveda/profil/spieler/592346","Poveda","1998"
"SÃ©rie A","Americas","Brazil",2020,"São Paulo Futebol Clube","Gabriel Rodrigues","Left-Back",2002-01-04,"Brazil",NA,"https://www.transfermarkt.com/gabriel-rodrigues/profil/spieler/574757","Rodrigues","2002"
"Liga MX Clausura","Americas","Mexico",2022,"Querétaro FC","Gabriel Rojas","Left-Back",1997-06-22,"Argentina",1200000,"https://www.transfermarkt.com/gabriel-rojas/profil/spieler/471639","Rojas","1997"
"SÃ©rie A","Americas","Brazil",2021,"Ceará Sporting Club","Gabriel Santos","Right Winger",1999-03-16,"Brazil",NA,"https://www.transfermarkt.com/gabriel-santos/profil/spieler/662033","Santos","1999"
